time,z_mid,alpha_m-1
0,0.487456,0.000000e+00
0,0.962461,0.000000e+00
0,1.437465,0.000000e+00
0,1.912470,0.000000e+00
0,2.387475,0.000000e+00
0,2.862479,0.000000e+00
0,3.337484,0.000000e+00
0,3.812489,0.000000e+00
0,4.287493,0.000000e+00
0,4.762498,0.000000e+00
0,5.237502,0.000000e+00
0,5.712507,0.000000e+00
0,6.187512,0.000000e+00
0,6.662516,0.000000e+00
0,7.137521,0.000000e+00
0,7.612525,0.000000e+00
0,8.087530,0.000000e+00
0,8.562535,0.000000e+00
0,9.037539,0.000000e+00
0,9.512544,0.000000e+00
0.1,0.487456,-1.846782e-04
0.1,0.962461,-1.901139e-02
0.1,1.437465,-1.837396e-03
0.1,1.912470,-8.845423e-04
0.1,2.387475,-1.093900e-05
0.1,2.862479,-5.217348e-04
0.1,3.337484,-6.323976e-06
0.1,3.812489,-2.221807e-06
0.1,4.287493,-5.871284e-07
0.1,4.762498,-1.364849e-04
0.1,5.237502,-1.359887e-07
0.1,5.712507,-5.100383e-07
0.1,6.187512,-1.455656e-08
0.1,6.662516,-6.190459e-08
0.1,7.137521,-5.188779e-05
0.1,7.612525,-6.093902e-08
0.1,8.087530,-2.955693e-09
0.1,8.562535,-1.243910e-08
0.1,9.037539,-1.087624e-05
0.1,9.512544,-9.813046e-09
0.2,0.487456,-5.891272e-03
0.2,0.962461,-3.778587e-02
0.2,1.437465,-9.131100e-03
0.2,1.912470,-6.474222e-03
0.2,2.387475,-4.281173e-04
0.2,2.862479,-2.067988e-03
0.2,3.337484,-2.667284e-04
0.2,3.812489,-1.434450e-04
0.2,4.287493,-5.917871e-05
0.2,4.762498,-7.469083e-04
0.2,5.237502,-2.206920e-05
0.2,5.712507,-4.112990e-05
0.2,6.187512,-6.663838e-06
0.2,6.662516,-1.201447e-05
0.2,7.137521,-2.683171e-04
0.2,7.612525,-1.081663e-05
0.2,8.087530,-1.168495e-06
0.2,8.562535,-2.044365e-06
0.2,9.037539,-1.144344e-04
0.2,9.512544,-1.400559e-06
0.3,0.487456,-1.456851e-02
0.3,0.962461,-5.701394e-02
0.3,1.437465,-1.920467e-02
0.3,1.912470,-1.514123e-02
0.3,2.387475,-3.971578e-03
0.3,2.862479,-4.583043e-03
0.3,3.337484,-1.916528e-03
0.3,3.812489,-1.181481e-03
0.3,4.287493,-7.403190e-04
0.3,4.762498,-1.736025e-03
0.3,5.237502,-2.702218e-04
0.3,5.712507,-4.061793e-04
0.3,6.187512,-1.215443e-04
0.3,6.662516,-1.631942e-04
0.3,7.137521,-7.349493e-04
0.3,7.612525,-1.332671e-04
0.3,8.087530,-2.531623e-05
