time,flux
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,6.797798692942407e-296
24.0,6.888082276182968e-259
25.0,6.240564457788807e-225
26.0,9.093197860985396e-194
27.0,3.3886296867114265e-165
28.0,4.64814270183937e-139
29.0,3.1030367260829625e-115
30.0,1.2347138518433458e-93
31.0,3.3273341080563326e-74
32.0,6.362509405576736e-57
33.0,8.184488520910589e-42
34.0,5.807036915375559e-29
35.0,1.4328534772733351e-18
36.0,3.8973047335462e-11
37.0,3.658253562316009e-08
38.0,1.1301306094438888e-06
39.0,2.0741078626293373e-05
40.0,0.0003567414148599777
41.0,0.002437812130258864
42.0,0.007135362079828689
43.0,0.01411628037478876
44.0,0.023220392842144652
45.0,0.03406206225271024
46.0,0.04722464361934885
47.0,0.06339943954638966
48.0,0.08166326079711311
49.0,0.10137035396887803
50.0,0.122945899460438
