SNR_dB,BER
0.0,0.15729920705028516
0.1,0.15254793188168925
0.2,0.14785356489739335
0.30000000000000004,0.1432179692885692
0.4,0.13864297931167519
0.5,0.1341303966592255
0.6000000000000001,0.12968198676909382
0.7000000000000001,0.12529947508137484
0.8,0.12098454325261639
0.9,0.11673882533803036
1.0,0.11256390395308294
1.1,0.10846130642665555
1.2000000000000002,0.1044325009587415
1.3,0.1004788927964082
1.4000000000000001,0.09660182044248478
1.5,0.09280255191214265
1.6,0.08908228105319724
1.7000000000000002,0.0854421239465781
1.8,0.08188311540397238
1.9000000000000001,0.07840620558014406
2.0,0.07501225671785196
2.1,0.07170204004362699
2.2,0.06847623283291712
2.3000000000000003,0.06533541566325118
2.4000000000000004,0.0622800698741057
2.5,0.05931057525207364
2.6,0.056427207959717396
2.7,0.05363013872613563
2.8000000000000003,0.05091943131677783
2.9000000000000004,0.048295041299389954
3.0,0.04575681512217064
3.1,0.0433044895192461
3.2,0.04093769125743914
3.3000000000000003,0.03865593723700248
3.4000000000000004,0.036458634957514266
3.5,0.03434508335849198
3.6,0.03231447404247353
3.7,0.030365892886346297
3.8000000000000003,0.02849832204458332
3.9000000000000004,0.02671064234577871
4.0,0.0250016360814751
4.1000000000000005,0.023369990183757558
4.2,0.021814299785466496
4.3,0.020333072154179285
4.4,0.018924730988340892
4.5,0.017587621061121658
4.6000000000000005,0.016320013194759793
4.7,0.015120109545346573
4.800000000000001,0.013986049175253215
4.9,0.012915913887720136
5.0,0.011907734295557325
5.1000000000000005,0.010959496093477149
5.2,0.010069146501329845
5.300000000000001,0.009234600843470494
5.4,0.008453749227689957
5.5,0.007724463285620265
5.6000000000000005,0.007044602935310268
5.7,0.006412023125786094
5.800000000000001,0.005824580522889253
5.9,0.005280140095544371
6.0,0.004776581561865614
6.1000000000000005,0.004311805655178931
6.2,0.0038837401711233426
6.300000000000001,0.003490345758500461
6.4,0.0031296214184632137
6.5,0.002799609678960466
6.6000000000000005,0.0024984014140680653
6.7,0.002224140280913435
6.800000000000001,0.001975026750310278
6.9,0.0017493217109252966
7.0,0.0015453496307568891
7.1000000000000005,0.0013615012638680884
7.2,0.001196235894629629
7.300000000000001,0.0010480831161358327
7.4,0.0009156441438965095
7.5,0.0007975926703183252
7.6000000000000005,0.0006926752698071354
7.7,0.0005997113684837735
7.800000000000001,0.000517592796449478
7.9,0.00044528294420363663
8.0,0.0003818155481519863
8.1,0.00032629313309816656
8.200000000000001,0.0002778851421430977
8.3,0.00023582578648996145
8.4,0.00019941164924094711
8.5,0.0001679990783580215
8.6,0.0001410014045358899
8.700000000000001,0.00011788601980316759
8.8,9.817135223949818e-05
8.9,8.14237712934566e-05
9.0,6.725445683923501e-05
9.1,5.5316263358205696e-05
9.200000000000001,4.5300608520793545e-05
9.3,3.6934413027041776e-05
9.4,2.9977115897901015e-05
9.5,2.421778655406737e-05
9.600000000000001,1.9472352037157108e-05
9.700000000000001,1.558095468133255e-05
9.8,1.2405452492855421e-05
9.9,9.827071498141006e-06
10.0,7.74421643104407e-06
10.100000000000001,6.070443395112532e-06
10.200000000000001,4.732595597593935e-06
10.3,3.669100942968866e-06
10.4,2.828428220775465e-06
10.5,2.167696843486147e-06
10.600000000000001,1.651433595185733e-06
10.700000000000001,1.2504686430157205e-06
10.8,9.409621358166485e-07
10.9,7.035520566392351e-07
11.0,5.226135907150398e-07
11.100000000000001,3.8562009637940666e-07
11.200000000000001,2.8259579810017743e-07
11.3,2.056505305450275e-07
11.4,1.4858722155479164e-07
11.5,1.0657328072621433e-07
11.600000000000001,7.586763044000902e-08
11.700000000000001,5.359575045784538e-08
11.8,3.756578064741444e-08
11.9,2.6119416618267944e-08
12.0,1.8012020701257507e-08
12.100000000000001,1.231703961341428e-08
12.200000000000001,8.350457390973721e-09
12.3,5.6116079780731484e-09
12.4,3.737219427375968e-09
12.5,2.466056893221622e-09
12.600000000000001,1.6119727244993396e-09
12.700000000000001,1.0435592218754973e-09
12.8,6.689348361729835e-10
12.9,4.244807904384811e-10
13.0,2.6658620350601013e-10
13.100000000000001,1.6566020807879393e-10
13.200000000000001,1.0183397720742951e-10
13.3,6.190870964657783e-11
13.4,3.7212029963414346e-11
13.5,2.2109195713965616e-11
13.600000000000001,1.2980853103898928e-11
13.700000000000001,7.529293688929309e-12
13.8,4.31323534250935e-12
13.9,2.4396320411861254e-12
14.0,1.3620378257561544e-12
14.100000000000001,7.503538033960647e-13
14.200000000000001,4.0777484543426514e-13
14.3,2.1853168008949757e-13
14.4,1.1545347248258316e-13
14.5,6.011099578091917e-14
14.600000000000001,3.083241299292691e-14
14.700000000000001,1.557459190807394e-14
14.8,7.745095616341958e-15
14.9,3.790352587867473e-15
15.0,1.824791472525621e-15
15.100000000000001,8.638970477299258e-16
